Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Rockford, IL",2014,1,74,,53,,12,,7,,1,,1,,3,,"Rockford, IL
(42.2669001480005, -89.07834897499964)",
"Tucson, AZ",2014,1,178,,133,,31,,10,,4,,,-,4,,"Tucson, AZ
(32.22155124200049, -110.96975897999971)",
"Des Moines, IA",2014,1,59,,40,,16,,2,,1,,,-,9,,"Des Moines, IA
(41.58976008400049, -93.61564652299967)",
"Little Rock, AR",2014,1,64,,34,,10,,14,,3,,3,,1,,"Little Rock, AR
(34.748651751000466, -92.27448794899965)",
"Milwaukee, WI",2014,1,89,,55,,18,,14,,,-,2,,4,,"Milwaukee, WI
(43.041813206000484, -87.90683717599967)",
"Wichita, KS",2014,1,70,,47,,18,,2,,2,,1,,3,,"Wichita, KS
(37.68698211500049, -97.33557577399966)",
"Jersey City, NJ",2014,1,21,,18,,2,,1,,,-,,-,,-,"Jersey City, NJ
(40.71747152000046, -74.04383961799965)",
"Akron, OH",2014,1,42,,27,,11,,2,,2,,,-,5,,"Akron, OH
(41.08419170600047, -81.51405901999965)",
"Fort Wayne, IN",2014,1,75,,52,,20,,3,,,-,,-,4,,"Fort Wayne, IN
(41.08026149200049, -85.13830990099967)",
"Ogden, UT",2014,1,44,,34,,8,,1,,1,,,-,4,,"Ogden, UT
(41.22236104300049, -111.97047620299969)",
"Springfield, MA",2014,1,32,,23,,7,,2,,,-,,-,1,,"Springfield, MA
(42.10125058000045, -72.58928991799962)",
"Boise, ID",2014,1,73,,51,,19,,1,,1,,1,,5,,"Boise, ID
(43.6069823790005, -116.1934057949997)",
"Houston, TX",2014,1,538,,344,,136,,43,,11,,4,,29,,"Houston, TX
(29.760451522000437, -95.36977674999969)",
"Dallas, TX",2014,1,223,,136,,66,,14,,6,,1,,14,,"Dallas, TX
(32.778154335000465, -96.79539918599966)",
"Chicago, IL",2014,1,63,,47,,11,,2,,3,,,-,6,,"Chicago, IL
(41.88425366500047, -87.63244574499964)",
"Glendale, CA",2014,1,29,,22,,7,,,-,,-,,-,5,,"Glendale, CA
(34.146333127000446, -118.24863950799971)",
"Jacksonville, FL",2014,1,173,,121,,41,,4,,2,,5,,14,,"Jacksonville, FL
(30.331471355000474, -81.65621662999968)",
"Reading, PA",2014,1,43,,36,,4,,3,,,-,,-,1,,"Reading, PA
(40.33662042900045, -75.92783660599963)",
"Gary, IN",2014,1,6,,3,,2,,1,,,-,,-,,-,"Gary, IN
(41.603712343000495, -87.33716612199964)",
"Tacoma, WA",2014,1,93,,66,,17,,8,,2,,,-,7,,"Tacoma, WA
(47.255127174000506, -122.44163694999969)",
"San Francisco, CA",2014,1,108,,75,,27,,5,,1,,,-,5,,"San Francisco, CA
(37.777122455000494, -122.4196366869997)",
"Richmond, VA",2014,1,42,,31,,7,,3,,,-,1,,,-,"Richmond, VA
(37.54070224600048, -77.43364879599966)",
"Cleveland, OH",2014,1,217,,152,,43,,19,,3,,,-,19,,"Cleveland, OH
(41.50475135200048, -81.69071765199965)",
"Wilmington, DE",2014,1,12,,8,,3,,,-,1,,,-,,-,"Wilmington, DE
(39.7402328550005, -75.55083980499967)",
"Erie, PA",2014,1,34,,27,,5,,,-,1,,1,,,-,"Erie, PA
(42.1294409300005, -80.08523881899964)",
"Nashville, TN",2014,1,145,,89,,39,,10,,4,,3,,13,,"Nashville, TN
(36.16784292800048, -86.77815577199965)",
"Tulsa, OK",2014,1,51,,47,,4,,,-,,-,,-,2,,"Tulsa, OK
(36.149741615000494, -95.99332745899966)",
